timestamp,open,high,low,close,volume
2020-06-18,37.8200,39.2000,37.5700,38.5700,285629
2020-06-17,38.5500,38.9000,37.9600,38.3200,467766
2020-06-16,39.7100,39.7100,37.9300,38.4500,546349
2020-06-15,35.7700,37.8700,35.6800,37.3400,460587
2020-06-12,37.3300,37.8100,35.7300,37.4200,562431
2020-06-11,38.1900,38.1900,35.0400,35.3400,872790
2020-06-10,42.0600,42.2400,40.0200,40.6700,678908
2020-06-09,42.0100,42.7300,41.1900,42.4700,694877
2020-06-08,43.2900,43.7800,42.7000,43.2700,696290
2020-06-05,41.3100,43.2900,40.9800,42.2200,977498
2020-06-04,38.1500,39.7800,37.4800,39.7400,824734
2020-06-03,37.7200,39.5000,37.3600,38.5300,716475
2020-06-02,35.7800,37.7900,35.2600,36.8100,1184911
2020-06-01,34.1900,35.4600,33.8600,35.3900,577579
2020-05-29,34.0000,34.7000,33.7600,34.2600,971177
2020-05-28,35.2600,35.5400,34.2400,34.6600,761324
2020-05-27,35.4000,36.0600,33.9100,34.9400,777634
2020-05-26,32.8600,34.4950,32.2900,34.0500,1020325
2020-05-22,31.7000,31.7200,30.4100,31.1000,468389
2020-05-21,31.5000,32.4600,31.2300,31.3300,1198933
2020-05-20,32.1200,32.9900,31.2745,31.6000,1023029
2020-05-19,33.3900,33.4800,31.5900,31.6100,441857
2020-05-18,31.3900,33.6200,31.3061,33.4200,703216
2020-05-15,29.6200,30.4900,29.4013,29.9000,420964
2020-05-14,29.1100,30.7500,27.9300,30.7300,692680
2020-05-13,31.6100,31.8194,29.3300,29.7400,744305
2020-05-12,33.9600,34.1000,32.0300,32.0500,585834
2020-05-11,35.3300,35.5700,33.7600,33.8000,884369
2020-05-08,33.9500,35.8600,33.7300,35.4900,987321
2020-05-07,32.8500,33.6200,32.4600,33.1500,661776
2020-05-06,34.4100,34.5300,32.2800,32.3500,1054694
2020-05-05,33.8000,34.5450,33.7200,33.9200,775096
2020-05-04,34.3300,34.3500,31.3900,32.7800,1947007
2020-05-01,34.3800,35.0800,33.3100,34.9400,1170235
2020-04-30,34.0700,35.5500,33.0100,35.4000,2696080
2020-04-29,30.6100,35.5400,30.4600,34.8900,2792307
2020-04-28,31.4600,31.7800,30.6800,30.7000,1369014
2020-04-27,28.7500,30.8000,28.2200,30.3700,2084877
2020-04-24,28.1100,28.1100,27.4300,27.9200,870558
2020-04-23,26.7900,28.2832,26.6100,27.6300,642930
2020-04-22,27.0500,27.0500,26.2550,26.3400,872882
2020-04-21,25.7900,26.5600,25.5200,26.3500,651434
2020-04-20,27.5100,27.7600,26.2900,26.5400,593107
2020-04-17,28.5400,29.2100,28.0600,28.1900,735715
2020-04-16,28.3500,28.4200,26.7700,27.5100,1245690
2020-04-15,29.4000,29.4000,27.9500,28.2700,555745
2020-04-14,31.8600,31.9999,30.0900,30.1700,1065955
2020-04-13,31.5300,31.6400,30.0801,30.7300,1001813
2020-04-09,29.3100,31.8000,29.3100,31.2900,1687451
2020-04-08,27.7100,29.1700,27.2750,28.8300,739265
2020-04-07,27.0900,28.8600,26.3200,27.3300,2197607
2020-04-06,23.8400,26.1200,23.8000,25.9000,1152747
2020-04-03,23.9000,24.1600,22.6200,22.9300,1358140
2020-04-02,24.1600,24.8300,23.2100,24.0000,1746658
2020-04-01,25.3300,25.8200,24.1000,24.6000,1635553
2020-03-31,26.0700,27.0900,26.0050,26.4400,2047889
2020-03-30,26.5000,27.3300,25.3000,26.2000,2412276
2020-03-27,26.1100,27.0900,25.0600,26.4900,854084
2020-03-26,27.0900,28.1900,26.5150,27.7900,1542488
2020-03-25,26.8700,28.9400,25.5400,26.8100,1203364
2020-03-24,26.3600,28.6000,25.8100,26.5200,913051
2020-03-23,26.3000,26.3700,23.4100,25.0700,1257733
2020-03-20,28.8400,29.2700,25.5300,26.3900,1666120
2020-03-19,30.8600,32.4900,28.5900,28.8100,938918
2020-03-18,27.9900,32.2000,27.6900,31.2300,1257701
2020-03-17,27.6500,31.4200,26.4350,30.9300,886858
2020-03-16,24.7500,27.8735,24.7500,27.1800,1330798
2020-03-13,30.0400,30.8900,26.3100,30.8900,933239
2020-03-12,29.2400,30.1200,27.5700,28.6000,1330484
2020-03-11,33.5600,33.5700,31.3200,31.5500,1477708
2020-03-10,32.8700,34.5567,32.0550,34.0500,1355542
2020-03-09,32.0800,32.4100,30.1300,30.8400,1000034
2020-03-06,33.4000,35.1000,33.1550,34.4300,1171084
2020-03-05,35.6500,36.2300,34.5200,34.8300,1153266
2020-03-04,36.4200,36.9600,35.4700,36.8200,1222129
2020-03-03,37.5600,37.8000,35.4800,35.9800,1265825
2020-03-02,38.5600,38.5600,36.3700,37.4800,1513196
2020-02-28,35.6800,38.4500,35.5000,38.0400,1692939
2020-02-27,36.7300,38.2500,35.3600,36.9000,2299366
2020-02-26,39.1900,39.4300,36.9000,37.2100,1220583
2020-02-25,40.1900,40.5100,38.4800,38.9600,1296972
2020-02-24,38.9800,40.3100,38.5900,40.1200,915652
2020-02-21,40.6100,40.8700,39.7900,40.7800,853427
2020-02-20,39.7500,41.0900,39.4550,41.0500,1217189
2020-02-19,38.5400,40.0000,37.6400,39.6400,1797846
2020-02-18,39.9000,40.0800,38.3000,38.4500,1759711
2020-02-14,44.2100,44.3600,39.5000,40.1200,2526073
2020-02-13,45.1900,47.6400,44.7600,45.0100,1939643
2020-02-12,50.3000,50.5700,49.9700,50.1900,671765
2020-02-11,48.9900,50.1500,48.5200,49.5800,828847
2020-02-10,49.5400,49.9300,48.4800,48.7600,740687
2020-02-07,50.0600,50.2800,49.2200,50.0500,576600
2020-02-06,50.9500,51.0500,50.0700,50.3400,598961
2020-02-05,49.9100,51.5300,49.8600,50.7300,527843
2020-02-04,49.3000,49.3802,48.6550,48.9900,379469
2020-02-03,48.1300,48.8800,47.7800,48.3700,707513
2020-01-31,49.5200,49.6500,47.2700,47.7200,1232463
2020-01-30,49.4300,50.2923,48.7400,49.8300,439300
2020-01-29,50.1400,50.8564,50.0000,50.0000,852489
2020-01-28,49.9700,50.4300,49.3400,49.8000,528128
